roc_auc,pr_auc,weighted_log_loss,model,fold
0.945735486869998,0.6363271314062431,0.12490360528511453,catboost,1
0.9462558000119283,0.6382893103893937,0.12503269788182772,catboost,2
0.9377358172626327,0.6206021594327557,0.129285359686789,catboost,3
0.9410304618835779,0.6232513799302141,0.12717710769602478,catboost,4
0.9431220306850521,0.615630172699934,0.1277627509669605,catboost,5
0.9541637548197683,0.6832839319140779,0.11421977403698805,xgboost,1
0.9555141527734031,0.6904354319108865,0.11317112761707723,xgboost,2
0.9473509755286922,0.668800806096678,0.11989951901717097,xgboost,3
0.9507704939353853,0.6869558986529141,0.11565350359808842,xgboost,4
0.953366338545194,0.679723460558231,0.11513416151020804,xgboost,5
0.9542376099740435,0.6867837151467523,0.11385259022876122,lightgbm,1
0.9553425262650185,0.6929346748956177,0.1131737474601471,lightgbm,2
0.9478291521651815,0.6752371232835787,0.11869590300606872,lightgbm,3
0.9511292843605159,0.6855224549104615,0.11566156788425704,lightgbm,4
0.9525236118375122,0.6855121826456634,0.11520098374093538,lightgbm,5
