feature,importance
num__age,1872
num__detailed occupation recode,1056
num__dividends from stocks,957
num__detailed industry recode,892
num__capital gains,662
num__capital losses,658
num__num persons worked for employer,636
num__weeks worked in year,525
num__wage per hour,399
num__own business or self employed,267
cat__sex_Female,223
cat__education_Bachelors degree(BA AB BS),218
cat__education_High school graduate,174
cat__education_Masters degree(MA MS MEng MEd MSW MBA),153
cat__full or part time employment stat_Full-time schedules,149
cat__education_Some college but no degree,132
cat__class of worker_Private,124
cat__marital stat_Married-civilian spouse present,123
cat__detailed household and family stat_Householder,119
cat__education_Prof school degree (MD DDS DVM LLB JD),117
cat__class of worker_Self-employed-not incorporated,115
cat__class of worker_Self-employed-incorporated,114
cat__education_Doctorate degree(PhD EdD),113
cat__tax filer stat_Joint both under 65,103
cat__major occupation code_Professional specialty,103
cat__detailed household summary in household_Householder,101
num__year,98
cat__migration code-change in msa_Nonmover,96
cat__detailed household and family stat_Spouse of householder,93
cat__major industry code_Retail trade,89
cat__race_White,86
cat__tax filer stat_Single,84
cat__member of a labor union_No,83
cat__class of worker_Local government,80
cat__major occupation code_Sales,77
cat__major occupation code_Precision production craft & repair,76
cat__race_Black,75
cat__marital stat_Divorced,74
cat__tax filer stat_Head of household,74
cat__class of worker_State government,72
cat__country of birth mother_United-States,71
cat__tax filer stat_Nonfiler,71
cat__major industry code_Transportation,67
cat__marital stat_Never married,66
cat__major industry code_Education,66
cat__country of birth father_United-States,64
cat__major occupation code_Protective services,64
cat__major industry code_Manufacturing-durable goods,63
cat__class of worker_Federal government,61
cat__major industry code_Medical except hospital,59
cat__major occupation code_Adm support including clerical,58
cat__detailed household and family stat_Nonfamily householder,57
cat__major industry code_Business and repair services,56
cat__major occupation code_Executive admin and managerial,55
cat__detailed household and family stat_Secondary individual,55
cat__full or part time employment stat_PT for non-econ reasons usually FT,54
cat__education_10th grade,54
cat__country of birth self_United-States,51
cat__major industry code_Social services,50
cat__major industry code_Finance insurance and real estate,49
cat__tax filer stat_Joint both 65+,49
cat__major occupation code_Transportation and material moving,49
cat__member of a labor union_Not in universe,48
cat__major occupation code_Other service,45
cat__marital stat_Separated,44
cat__major industry code_Wholesale trade,44
cat__country of birth father_?,43
cat__education_11th grade,43
cat__detailed household summary in household_Child 18 or older,43
cat__citizenship_Foreign born- U S citizen by naturalization,41
cat__tax filer stat_Joint one under 65 & one 65+,41
cat__full or part time employment stat_Children or Armed Forces,41
cat__member of a labor union_Yes,40
cat__major industry code_Hospital services,40
cat__major industry code_Construction,40
cat__hispanic origin_All other,40
cat__sex_Male,40
cat__education_Associates degree-occup /vocational,39
cat__education_7th and 8th grade,38
cat__fill inc questionnaire for veteran's admin_No,38
cat__country of birth self_?,37
cat__major industry code_Manufacturing-nondurable goods,37
cat__education_9th grade,35
cat__education_Associates degree-academic program,34
cat__major industry code_Entertainment,34
cat__major occupation code_Technicians and related support,34
cat__hispanic origin_Mexican-American,34
cat__marital stat_Widowed,34
cat__major industry code_Communications,34
cat__major industry code_Utilities and sanitary services,33
num__veterans benefits,32
cat__region of previous residence_Not in universe,31
cat__citizenship_Foreign born- Not a citizen of U S ,30
cat__country of birth father_Italy,29
cat__major industry code_Mining,28
cat__detailed household summary in household_Other relative of householder,28
cat__country of birth mother_?,28
cat__full or part time employment stat_Not in labor force,26
cat__migration prev res in sunbelt_No,26
cat__major industry code_Other professional services,26
cat__migration code-change in msa_NonMSA to nonMSA,26
cat__region of previous residence_Midwest,25
cat__major industry code_Personal services except private HH,25
cat__race_Asian or Pacific Islander,25
cat__detailed household and family stat_Child 18+ never marr Not in a subfamily,24
cat__education_12th grade no diploma,24
