feature,importance
cat__tax filer stat_Nonfiler,0.06774417
num__detailed occupation recode,0.025320653
cat__sex_Female,0.025284745
cat__detailed household summary in household_Householder,0.023376781
num__weeks worked in year,0.017125249
cat__sex_Male,0.013479665
num__capital gains,0.012442066
cat__detailed household summary in household_Child 18 or older,0.010620602
cat__education_Prof school degree (MD DDS DVM LLB JD),0.008578424
cat__major occupation code_Other service,0.0070243105
num__dividends from stocks,0.0068749157
cat__education_High school graduate,0.0067095547
cat__major occupation code_Protective services,0.0064611714
cat__marital stat_Never married,0.006087274
cat__major industry code_Education,0.0060253534
cat__tax filer stat_Joint both under 65,0.006016853
cat__marital stat_Married-civilian spouse present,0.006016452
num__capital losses,0.0058952435
cat__education_Doctorate degree(PhD EdD),0.005822871
cat__education_Masters degree(MA MS MEng MEd MSW MBA),0.0056133517
cat__state of previous residence_Iowa,0.0052961293
cat__major industry code_Retail trade,0.0052699517
num__num persons worked for employer,0.0052513657
cat__class of worker_Self-employed-incorporated,0.004962313
cat__education_Bachelors degree(BA AB BS),0.0048619662
cat__tax filer stat_Single,0.0047626873
cat__education_Some college but no degree,0.0046430095
cat__education_10th grade,0.0046067787
cat__state of previous residence_Utah,0.004326021
cat__country of birth mother_Trinadad&Tobago,0.004295572
cat__hispanic origin_All other,0.004290862
cat__detailed household and family stat_Child 18+ spouse of subfamily RP,0.0041032596
cat__detailed household and family stat_Child 18+ never marr RP of subfamily,0.004048165
cat__country of birth mother_South Korea,0.0040336736
cat__migration code-move within reg_Different state in Midwest,0.0039724247
cat__major industry code_Agriculture,0.003955474
cat__state of previous residence_West Virginia,0.0039027424
cat__state of previous residence_Louisiana,0.0038967247
cat__state of previous residence_Wyoming,0.0038663377
cat__major industry code_Forestry and fisheries,0.0038080486
cat__hispanic origin_Cuban,0.0036877396
cat__major industry code_Finance insurance and real estate,0.003678531
cat__major industry code_Public administration,0.003627256
num__wage per hour,0.0035898588
cat__major occupation code_Precision production craft & repair,0.0035639696
cat__detailed household and family stat_Spouse of householder,0.0035447609
cat__reason for unemployment_Job leaver,0.0034720425
cat__country of birth mother_India,0.0034580482
cat__state of previous residence_Colorado,0.003438703
cat__country of birth mother_Holand-Netherlands,0.0033912584
cat__country of birth self_Scotland,0.0033696156
cat__state of previous residence_Maine,0.003365179
cat__class of worker_State government,0.0033641392
cat__country of birth self_Hong Kong,0.0033630573
cat__education_9th grade,0.003271117
cat__country of birth mother_Philippines,0.0032358186
cat__member of a labor union_Not in universe,0.0032347732
cat__state of previous residence_District of Columbia,0.0032312428
cat__state of previous residence_Idaho,0.0032201405
num__age,0.0031878513
cat__migration prev res in sunbelt_Yes,0.0031797048
cat__migration code-move within reg_Different state in South,0.0031787222
cat__region of previous residence_Midwest,0.003174327
cat__country of birth father_Dominican-Republic,0.0031508307
cat__hispanic origin_Mexican (Mexicano),0.003126759
cat__detailed household and family stat_Other Rel 18+ spouse of subfamily RP,0.0031205895
cat__state of previous residence_?,0.0031148863
cat__major industry code_Social services,0.0031079582
cat__detailed household summary in household_Spouse of householder,0.0030903863
cat__detailed household and family stat_Spouse of RP of unrelated subfamily,0.0030880459
cat__state of previous residence_New York,0.0030636345
cat__major industry code_Mining,0.003046224
cat__country of birth self_Canada,0.0030406278
cat__country of birth mother_Canada,0.0030386287
cat__education_7th and 8th grade,0.0030349412
cat__country of birth self_Iran,0.0030121738
cat__country of birth father_Cuba,0.0030112134
cat__country of birth father_Holand-Netherlands,0.0029989728
cat__country of birth father_Poland,0.0029898712
cat__education_Associates degree-occup /vocational,0.0029858064
cat__fill inc questionnaire for veteran's admin_Not in universe,0.0029676904
cat__fill inc questionnaire for veteran's admin_Yes,0.0029608721
cat__detailed household and family stat_Child 18+ ever marr Not in a subfamily,0.0029518243
cat__state of previous residence_New Jersey,0.0029418103
cat__state of previous residence_California,0.002937414
cat__detailed household summary in household_Nonrelative of householder,0.0029349765
cat__state of previous residence_Massachusetts,0.0029294724
cat__full or part time employment stat_PT for econ reasons usually PT,0.0029273615
cat__country of birth mother_Mexico,0.0029112902
cat__reason for unemployment_Other job loser,0.002903312
cat__country of birth self_Philippines,0.0028835344
cat__country of birth father_Iran,0.0028724766
cat__enroll in edu inst last wk_High school,0.0028403343
cat__class of worker_Federal government,0.0028315189
cat__race_Black,0.0028311186
cat__country of birth self_United-States,0.002822839
